# index, _pos
0,"array([-0.19978665, -4.86362624])"
1,"array([-0.19307686, -4.85105104])"
2,"array([-0.18912733, -4.84274878])"
3,"array([-0.19365781, -4.86849558])"
4,"array([-0.16618529, -4.86396288])"
5,"array([-0.1858867 , -4.83568366])"
6,"array([-0.17781638, -4.87850569])"
7,"array([-0.16156276, -4.82754847])"
8,"array([-0.18673169, -4.87218375])"
9,"array([-0.18863934, -4.87994769])"
10,"array([-0.19320253, -4.85819973])"
11,"array([-0.17271377, -4.85109339])"
12,"array([-0.17321824, -4.8691548 ])"
13,"array([-0.17412907, -4.8596801 ])"
14,"array([-0.19531012, -4.83951591])"
15,"array([-0.1787778 , -4.89003309])"
16,"array([-0.21626449, -4.8718697 ])"
17,"array([-0.17169126, -4.8418036 ])"
18,"array([-0.17707062, -4.83603849])"
19,"array([-0.18623126, -4.85126448])"
20,"array([-0.18007751, -4.85665903])"
21,"array([-0.1858371 , -4.86085362])"
22,"array([-0.17899204, -4.84461515])"
23,"array([-0.21297225, -4.84108822])"
24,"array([-0.20167357, -4.85522671])"
25,"array([-0.1638716 , -4.85287846])"
26,"array([-0.20187101, -4.82869429])"
27,"array([-0.15145231, -4.97345734])"
28,"array([-0.08092264, -4.72898368])"
29,"array([-0.17575609, -4.81424138])"
30,"array([-0.20709094, -4.85923962])"
31,"array([-0.21685885, -4.85915122])"
32,"array([-0.20883798, -4.89794258])"
33,"array([-0.22866249, -4.80404103])"
34,"array([-0.20099013, -4.84772321])"
35,"array([-0.14648967, -4.868209  ])"
36,"array([-0.22715557, -4.8642189 ])"
37,"array([-0.19080216, -4.82424794])"
38,"array([-0.21690597, -4.84919909])"
39,"array([-0.1653066 , -4.87369753])"
40,"array([-0.19126193, -4.89711039])"
41,"array([-0.16953343, -4.88468553])"
42,"array([-0.1969463 , -4.87520427])"
43,"array([-0.24716072, -4.85987213])"
44,"array([-0.20642623, -4.85137646])"
45,"array([-0.23934771, -4.84303804])"
46,"array([-0.20587981, -4.86789031])"
47,"array([-0.18167213, -4.8659272 ])"
48,"array([-0.15149657, -4.80510406])"
49,"array([-0.19730417, -4.80825869])"
50,"array([-0.12307824, -4.83652242])"
51,"array([-0.17841218, -4.79942053])"
52,"array([-0.23107901, -4.82634475])"
53,"array([-0.14377545, -4.88932442])"
54,"array([-0.19921262, -4.88524215])"
55,"array([-0.20732399, -4.8780819 ])"
56,"array([-0.22215889, -4.9418674 ])"
57,"array([-0.10754588, -4.85053323])"
58,"array([-0.13907457, -4.82330155])"
59,"array([-0.15986062, -4.84302727])"
60,"array([-0.2058174 , -4.83800952])"
61,"array([-0.22615674, -4.89037576])"
62,"array([-0.24755617, -4.93281255])"
63,"array([-0.2822402 , -5.13574062])"
64,"array([-0.21218445, -4.81454198])"
65,"array([-0.2255181 , -4.91318491])"
66,"array([-0.32950508, -5.11587856])"
67,"array([-0.02941162, -4.90760966])"
68,"array([-0.22079757, -5.07130325])"
69,"array([-0.30264843, -4.81380944])"
70,"array([-0.35224641, -4.98364754])"
71,"array([-0.33377362, -5.02163644])"
72,"array([-0.21065658, -4.7183827 ])"
73,"array([-0.19927016, -4.92917198])"
74,"array([-0.25778177, -4.90422423])"
75,"array([-0.23645991, -4.87681271])"
76,"array([-0.12818331, -4.85678723])"
77,"array([-0.15525927, -4.99684918])"
78,"array([-0.1167105 , -5.06840262])"
79,"array([-0.08365769, -4.83324459])"
80,"array([-0.10148081, -4.8178446 ])"
81,"array([ 0.0459261 , -4.92266524])"
82,"array([-0.01038565, -4.94298492])"
83,"array([-0.27532251, -4.85885298])"
84,"array([-0.3387608 , -4.92133835])"
85,"array([-0.22115121, -5.16173693])"
86,"array([-0.112834  , -4.77727889])"
87,"array([-0.13603855, -4.93067081])"
88,"array([-0.20432645, -4.77290915])"
89,"array([-0.28856118, -4.89838776])"
90,"array([-0.0976296 , -4.87304339])"
91,"array([-0.24205266, -4.71625409])"
92,"array([-0.06274255, -4.80557672])"
93,"array([-0.0333644 , -4.79943756])"
94,"array([-0.05471411, -4.66596206])"
95,"array([-0.00956514, -4.71134964])"
96,"array([-0.18750202, -4.62550374])"
97,"array([-0.35761604, -4.75224644])"
98,"array([-0.18263918, -4.95237965])"
99,"array([-0.09932634, -4.89720384])"
100,"array([-0.23606421, -5.01452878])"
101,"array([-0.15744059, -4.93794694])"
102,"array([-0.38145564, -4.92339571])"
103,"array([ 0.0161763 , -4.82195959])"
104,"array([ 0.04381096, -4.70954068])"
105,"array([-0.37119326, -4.80612342])"
106,"array([-0.26852019, -4.7001081 ])"
107,"array([ 0.01830832, -4.8590217 ])"
108,"array([-0.15231217, -4.74796184])"
109,"array([-0.38135927, -4.96842944])"
110,"array([-0.31200064, -4.95541201])"
111,"array([-0.1732816 , -4.76361205])"
112,"array([-0.11760047, -4.87663709])"
113,"array([-0.15607279, -4.77632771])"
114,"array([-0.30285169, -4.92351017])"
115,"array([-0.09778143, -4.98388653])"
116,"array([-0.27226192, -4.88083887])"
117,"array([-0.11831316, -4.90934487])"
118,"array([-0.14894308, -4.65056102])"
119,"array([ 0.05723384, -4.76313884])"
120,"array([-0.48083552, -4.9412044 ])"
121,"array([-0.3235312, -4.7846577])"
122,"array([-0.27594738, -4.92965423])"
123,"array([-0.21013702, -4.96711877])"
124,"array([-0.23841945, -4.77668082])"
125,"array([-0.09453653, -4.70234395])"
126,"array([-0.33888944, -4.86252658])"
127,"array([-0.35768698, -4.88026766])"
128,"array([-0.18349904, -5.14460198])"
129,"array([-0.36068341, -4.83945895])"
130,"array([-0.32972909, -4.82899624])"
131,"array([-0.25878287, -4.95138006])"
132,"array([-0.17694649, -4.93020958])"
133,"array([-0.40754887, -4.74828146])"
134,"array([-0.3128602 , -4.75213831])"
135,"array([-0.33253304, -4.72600413])"
136,"array([-0.23150313, -4.64645379])"
137,"array([-0.27305207, -4.73695828])"
138,"array([-0.22058473, -4.55840533])"
139,"array([-0.39127515, -4.63843245])"
140,"array([-0.45065568, -4.71448997])"
141,"array([-0.12258824, -4.63277508])"
142,"array([-0.21949659, -4.61649341])"
143,"array([-0.30021252, -5.01150077])"
144,"array([-0.08832126, -4.6358212 ])"
145,"array([-0.08401583, -4.93490352])"
146,"array([-0.27282718, -4.76259224])"
147,"array([-0.15684463, -4.61573468])"
148,"array([-0.301539  , -4.71729422])"
149,"array([-0.15607447, -5.03014838])"
150,"array([-0.19272602, -4.6619689 ])"
151,"array([-0.1709526 , -4.55806484])"
152,"array([-0.25885183, -4.66899138])"
153,"array([-0.26689802, -4.62463766])"
154,"array([-0.38284799, -4.72092684])"
155,"array([-0.31382713, -4.57650302])"
156,"array([-0.42401188, -4.67269249])"
157,"array([-0.36148035, -4.60654189])"
158,"array([-0.26771997, -4.5662427 ])"
159,"array([-0.11450455, -4.94523023])"
160,"array([-0.41874953, -4.92903633])"
161,"array([-0.3028585, -4.8422268])"
162,"array([-0.02021147, -4.75253158])"
163,"array([-0.41928495, -4.80180377])"
164,"array([-0.26490789, -4.83570989])"
165,"array([-0.22472026, -4.74527678])"
166,"array([-0.30653822, -4.68908222])"
167,"array([-0.12379085, -5.00080595])"
168,"array([-0.22035612, -4.67693245])"
169,"array([-0.15004124, -4.90852311])"
170,"array([-0.01872892, -5.03256899])"
171,"array([-0.0799215 , -5.06047484])"
172,"array([-0.17450035, -5.09508302])"
173,"array([-0.07175838, -4.85838393])"
174,"array([-0.19074042, -4.74626759])"
175,"array([ 0.04931699, -4.84441023])"
176,"array([-0.04661351, -4.83185952])"
177,"array([-0.2528316 , -5.09339713])"
178,"array([-0.21373418, -5.10499829])"
179,"array([-0.18907518, -5.05073902])"
180,"array([-0.34121697, -4.80310915])"
181,"array([ 0.01299262, -4.90799568])"
182,"array([-0.12730555, -4.9632043 ])"
183,"array([-0.04680841, -5.07033177])"
184,"array([-0.04468439, -4.99267778])"
185,"array([-0.05498137, -4.88979301])"
186,"array([-0.18409718, -4.97946336])"
187,"array([-0.0985347 , -5.02542315])"
188,"array([-0.12349875, -5.04230169])"
189,"array([-0.11783075, -5.15697443])"
190,"array([-0.25410966, -5.05118635])"
191,"array([-0.15913834, -5.06249154])"
192,"array([-0.44221189, -4.9041105 ])"
193,"array([-0.41927446, -4.96962726])"
194,"array([-0.424489  , -5.06606474])"
195,"array([-0.49179338, -4.8187147 ])"
196,"array([-0.42621947, -5.01826384])"
197,"array([-0.29343004, -4.78216917])"
198,"array([-0.24865262, -4.74670856])"
199,"array([-0.36808566, -4.69503012])"
200,"array([-0.10955031, -4.74236681])"
201,"array([-0.25951835, -4.79268323])"
202,"array([-0.39420336, -4.89016701])"
203,"array([-0.08734473, -4.79408084])"
204,"array([-0.05705931, -4.93285283])"
205,"array([ 0.00875103, -5.0627006 ])"
206,"array([-0.02969187, -4.96587768])"
207,"array([-0.39303786, -4.77873258])"
208,"array([-0.30308458, -4.86939245])"
209,"array([-0.05466923, -5.02923774])"
210,"array([-0.01970516, -4.83597045])"
211,"array([-0.07627778, -5.0060221 ])"
212,"array([-0.19123784, -5.02107398])"
213,"array([-0.05505481, -4.77807204])"
214,"array([-0.23676622, -4.97170209])"
215,"array([ 0.01782451, -4.97872537])"
216,"array([-0.07711914, -4.96620222])"
217,"array([-0.12469739, -4.71481429])"
218,"array([-4.88080619e-03, -4.99878409e+00])"
219,"array([-0.21168939, -4.99499437])"
220,"array([-0.12378534, -4.79706223])"
221,"array([-0.36134467, -5.08497981])"
222,"array([-0.11102307, -4.58251545])"
223,"array([-0.31756803, -4.62214706])"
224,"array([-0.0138458 , -4.87861658])"
225,"array([-0.32637822, -4.89516926])"
226,"array([ 0.02429843, -4.94546795])"
227,"array([-0.04343977, -4.70180465])"
228,"array([-0.18444374, -4.70794336])"
229,"array([-0.31778365, -4.98740143])"
230,"array([-0.45269416, -4.83886321])"
231,"array([-0.39685038, -4.84249842])"
232,"array([-0.34841948, -4.94358342])"
233,"array([ 4.32049333e-03, -4.77848438e+00])"
234,"array([ 0.01066186, -4.74198614])"
235,"array([-0.15712   , -4.72032302])"
236,"array([-0.03977709, -4.86226879])"
237,"array([-0.26371085, -4.8162288 ])"
238,"array([ 0.09523118, -4.88178875])"
239,"array([-0.29379777, -4.65624825])"
240,"array([-0.29584265, -5.04739569])"
241,"array([-0.45849489, -4.99556026])"
242,"array([-0.2204191, -5.0394239])"
243,"array([-0.3707212 , -5.01800377])"
244,"array([-0.34017927, -5.05230483])"
245,"array([-0.29140327, -5.07968497])"
246,"array([-0.14073887, -5.10043567])"
247,"array([-0.41662528, -4.8726139 ])"
248,"array([-0.27752029, -4.97994852])"
249,"array([-0.04295996, -5.12220732])"
250,"array([-0.48327696, -4.89078801])"
251,"array([-0.13222746, -4.76678302])"
252,"array([-0.07166433, -4.90774088])"
253,"array([-0.26395673, -5.01136316])"
254,"array([ 0.0452833 , -4.88412574])"
255,"array([ 0.08988855, -4.95975493])"
256,"array([ 0.0981009 , -4.83018144])"
257,"array([-0.46668188, -4.78070649])"
258,"array([-0.15983008, -4.68655701])"
259,"array([-0.08344772, -5.11214795])"
260,"array([-0.08873802, -4.66593764])"
261,"array([ 0.03553025, -4.79568288])"
262,"array([ 0.0614474, -5.0007742])"
263,"array([-0.33553906, -4.67931484])"
264,"array([-0.0229979 , -4.60156316])"
265,"array([-0.06167407, -4.57719914])"
266,"array([ 0.08675571, -4.71133835])"
267,"array([ 0.10446771, -4.76962319])"
268,"array([ 0.01638658, -4.62612359])"
269,"array([ 0.04924161, -4.66021923])"
270,"array([-0.01577587, -4.66970386])"
271,"array([-0.12392089, -4.68598691])"
272,"array([-0.04787049, -4.73365705])"
273,"array([-0.08422413, -4.76254618])"
