# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([4.01496312, 1.08856886])"
1,PHARYNX,,I1R,"array([3.98914869, 1.10633782])"
2,PHARYNX,,I2L,"array([4.00294759, 1.04699199])"
3,PHARYNX,,I2R,"array([3.97361521, 1.09098883])"
4,PHARYNX,,I3,"array([3.99945606, 1.07068489])"
5,PHARYNX,,I4,"array([3.93060206, 1.04338654])"
6,PHARYNX,,I5,"array([3.94228296, 1.02283597])"
7,PHARYNX,,I6,"array([3.97889364, 1.05422717])"
8,PHARYNX,,M1,"array([3.99702597, 1.0099549 ])"
9,PHARYNX,,M2L,"array([3.97594601, 1.01734337])"
10,PHARYNX,,M2R,"array([3.90418814, 1.06733952])"
11,PHARYNX,,M3L,"array([3.98356558, 1.03451491])"
12,PHARYNX,,M3R,"array([3.92932159, 1.07345421])"
13,PHARYNX,,M4,"array([3.95580967, 1.00926633])"
14,PHARYNX,,M5,"array([3.89823134, 0.93160618])"
15,PHARYNX,,MCL,"array([4.0320638 , 1.13676754])"
16,PHARYNX,,MCR,"array([4.06968759, 1.17162048])"
17,PHARYNX,,MI,"array([3.9705673 , 1.07234698])"
18,PHARYNX,,NSML,"array([3.95895813, 1.04112348])"
19,PHARYNX,,NSMR,"array([3.94642472, 1.06247009])"
20,PHARYNX,,pm1,"array([4.05541879, 1.09199226])"
21,PHARYNX,,pm2D,"array([4.07406528, 0.92990468])"
22,PHARYNX,,pm2VL,"array([3.98621635, 0.89316382])"
23,PHARYNX,,pm3D,"array([3.91331881, 1.17486201])"
24,PHARYNX,,pm3VL,"array([4.10905949, 1.16838873])"
25,PHARYNX,,pm3VR,"array([4.098763  , 1.26259921])"
26,PHARYNX,,pm4D,"array([3.94826043, 1.09559717])"
27,PHARYNX,,pm4VL,"array([4.03777456, 1.04655751])"
28,PHARYNX,,pm4VR,"array([3.90620522, 1.10501995])"
29,PHARYNX,,pm5D,"array([4.01965927, 1.02403043])"
30,PHARYNX,,pm5VL,"array([3.93734977, 0.99075716])"
31,PHARYNX,,pm5VR,"array([3.91268662, 1.02331399])"
32,PHARYNX,,pm6D,"array([3.92220627, 0.83638087])"
33,PHARYNX,,pm6VL,"array([3.84347105, 0.97047859])"
34,PHARYNX,,pm6VR,"array([3.83191487, 0.8331214 ])"
35,PHARYNX,,pm7D,"array([3.88081243, 0.81886576])"
